ID,Frame Name,Cycle Time [ms],Launch Type,Launch Parameter,Signal Byte No.,Signal Bit No.,Signal Name,Signal Function,Signal Length [Bit],Signal Default, Signal Not Available,Byteorder,is signed,GXCAN15,DCDC48V,LPTC,BMS,Tester,APM,HPC_ETH,LPDP,Name / Phys. Range,Function / Increment Unit,Value,frame.,signal.
  0xh,VECTOR__INDEPENDENT_SIG_MSG,0,cyclicX,0,1,7,L_Ver_App,Lyft App Software version,8,0,,m,u,,,,,,,,,0..0,,,,
  0xh,VECTOR__INDEPENDENT_SIG_MSG,0,cyclicX,0,1,7,L_Ver_Boot,Lyft Boot software version,8,0,,m,u,,,,,,,,,0..0,,,,
  0xh,VECTOR__INDEPENDENT_SIG_MSG,0,cyclicX,0,1,7,L_Ver_Cal,Lyft Calibration data version,8,0,,m,u,,,,,,,,,0..0,,,,
  0xh,VECTOR__INDEPENDENT_SIG_MSG,0,cyclicX,0,1,7,L_Ver_ECU_ID,"Four byte ECU ID (in hex numbers below)
LPTC = 4c 50 54 43
LPDP= 4c 50 44 50
DCDC  = 4c 50 44 50",32,0,,m,u,,,,,,,,,0..0,,,,
  0xh,VECTOR__INDEPENDENT_SIG_MSG,0,cyclicX,0,1,7,L_Ver_hardware,Lyft hardware version,8,0,,m,u,,,,,,,,,0..0,,,,
 B4h,Hybrid_Status1,0,cyclicX,0,2,0,EPT_LOC_DiagEnable,.,2,0,,i,u,,,s,,,,,,0..3,,"0: Default, 1: ENB_LOC, 2: ENB_LOC_LIMIT",,
 B4h,Hybrid_Status1,0,cyclicX,0,2,0,EPT_LOC_DiagEnable,.,2,0,,i,u,,,s,,,,,,0..3,,"0: Default, 1: ENB_LOC, 2: ENB_LOC_LIMIT",,
 B4h,Hybrid_Status1,0,cyclicX,0,2,0,EPT_LOC_DiagEnable,.,2,0,,i,u,,,s,,,,,,0..3,,"0: Default, 1: ENB_LOC, 2: ENB_LOC_LIMIT",,
 B4h,Hybrid_Status1,0,cyclicX,0,2,2,PrplsnSysAtv,"Propulsion system active, [1] = active",1,0,,i,u,,,s,,,,,,0..0,,,,
 B4h,Hybrid_Status1,0,cyclicX,0,3,5,HCPShutDwnCmd,HCP System Shutdown Command,3,0,,i,u,,,s,,,,,,0..7,,"0: default, 1: Initiate_Powerdown, 2: Shutdown, 3: Cancel_Powerdown, 7: SNA",,
 B4h,Hybrid_Status1,0,cyclicX,0,3,5,HCPShutDwnCmd,HCP System Shutdown Command,3,0,,i,u,,,s,,,,,,0..7,,"0: default, 1: Initiate_Powerdown, 2: Shutdown, 3: Cancel_Powerdown, 7: SNA",,
 B4h,Hybrid_Status1,0,cyclicX,0,3,5,HCPShutDwnCmd,HCP System Shutdown Command,3,0,,i,u,,,s,,,,,,0..7,,"0: default, 1: Initiate_Powerdown, 2: Shutdown, 3: Cancel_Powerdown, 7: SNA",,
 B4h,Hybrid_Status1,0,cyclicX,0,3,5,HCPShutDwnCmd,HCP System Shutdown Command,3,0,,i,u,,,s,,,,,,0..7,,"0: default, 1: Initiate_Powerdown, 2: Shutdown, 3: Cancel_Powerdown, 7: SNA",,
 B4h,Hybrid_Status1,0,cyclicX,0,3,5,HCPShutDwnCmd,HCP System Shutdown Command,3,0,,i,u,,,s,,,,,,0..7,,"0: default, 1: Initiate_Powerdown, 2: Shutdown, 3: Cancel_Powerdown, 7: SNA",,
 B4h,Hybrid_Status1,0,cyclicX,0,6,4,MC_0B4h,Message counter 0B4h,4,0,,i,u,,,s,,,,,,0..15,,,,
 B4h,Hybrid_Status1,0,cyclicX,0,7,0,CRC_0B4h,CRC-checksum byte 1 to 7 according to SAE J1850,8,0,,i,u,,,s,,,,,,0..0,,,,
101h,L_DCDC_HBeat,0,cyclicX,0,1,5,L_DCDC_OvrTemp_Status,Defined by max measured temperature,2,0,,m,u,,s,r,,,,,,0..3,,"0: NO_FAULT, 1: OVRTEMP_THRES1_WARNING, 2: OVRTEMP_THRES2_FAULT, 3: OVRTEMP_THRES3_FAULT",,
101h,L_DCDC_HBeat,0,cyclicX,0,1,5,L_DCDC_OvrTemp_Status,Defined by max measured temperature,2,0,,m,u,,s,r,,,,,,0..3,,"0: NO_FAULT, 1: OVRTEMP_THRES1_WARNING, 2: OVRTEMP_THRES2_FAULT, 3: OVRTEMP_THRES3_FAULT",,
101h,L_DCDC_HBeat,0,cyclicX,0,1,5,L_DCDC_OvrTemp_Status,Defined by max measured temperature,2,0,,m,u,,s,r,,,,,,0..3,,"0: NO_FAULT, 1: OVRTEMP_THRES1_WARNING, 2: OVRTEMP_THRES2_FAULT, 3: OVRTEMP_THRES3_FAULT",,
101h,L_DCDC_HBeat,0,cyclicX,0,1,5,L_DCDC_OvrTemp_Status,Defined by max measured temperature,2,0,,m,u,,s,r,,,,,,0..3,,"0: NO_FAULT, 1: OVRTEMP_THRES1_WARNING, 2: OVRTEMP_THRES2_FAULT, 3: OVRTEMP_THRES3_FAULT",,
101h,L_DCDC_HBeat,0,cyclicX,0,1,7,L_DCDC_ElecFault,OR of all possible Elec faults,1,0,,m,u,,s,r,,,,,,0..0,,,,
101h,L_DCDC_HBeat,0,cyclicX,0,2,0,L_DCDC_HVcont_status,State measured of the HV contactor,2,0,,m,u,,s,r,,,,,,0..3,,"0: OPEN, 1: CLOSED, 2: NA, 3: FAULT",,
101h,L_DCDC_HBeat,0,cyclicX,0,2,0,L_DCDC_HVcont_status,State measured of the HV contactor,2,0,,m,u,,s,r,,,,,,0..3,,"0: OPEN, 1: CLOSED, 2: NA, 3: FAULT",,
101h,L_DCDC_HBeat,0,cyclicX,0,2,0,L_DCDC_HVcont_status,State measured of the HV contactor,2,0,,m,u,,s,r,,,,,,0..3,,"0: OPEN, 1: CLOSED, 2: NA, 3: FAULT",,
101h,L_DCDC_HBeat,0,cyclicX,0,2,0,L_DCDC_HVcont_status,State measured of the HV contactor,2,0,,m,u,,s,r,,,,,,0..3,,"0: OPEN, 1: CLOSED, 2: NA, 3: FAULT",,
101h,L_DCDC_HBeat,0,cyclicX,0,2,2,L_DCDC_LVcont_status,Status measured of the LV 48V contactor,2,0,,m,u,,s,r,,,,,,0..3,,"0: OPEN, 1: CLOSED, 2: NA, 3: FAULT",,
101h,L_DCDC_HBeat,0,cyclicX,0,2,2,L_DCDC_LVcont_status,Status measured of the LV 48V contactor,2,0,,m,u,,s,r,,,,,,0..3,,"0: OPEN, 1: CLOSED, 2: NA, 3: FAULT",,
101h,L_DCDC_HBeat,0,cyclicX,0,2,2,L_DCDC_LVcont_status,Status measured of the LV 48V contactor,2,0,,m,u,,s,r,,,,,,0..3,,"0: OPEN, 1: CLOSED, 2: NA, 3: FAULT",,
101h,L_DCDC_HBeat,0,cyclicX,0,2,2,L_DCDC_LVcont_status,Status measured of the LV 48V contactor,2,0,,m,u,,s,r,,,,,,0..3,,"0: OPEN, 1: CLOSED, 2: NA, 3: FAULT",,
101h,L_DCDC_HBeat,0,cyclicX,0,2,4,L_DCDC_SM_LState,State of the DC-DC module,4,0,,m,u,,s,r,,,,,,0..15,,"0: RESET, 1: POST, 2: POWER_UP, 3: POWER_ACTIVE, 4: DEGRADED, 5: OFF",,
101h,L_DCDC_HBeat,0,cyclicX,0,2,4,L_DCDC_SM_LState,State of the DC-DC module,4,0,,m,u,,s,r,,,,,,0..15,,"0: RESET, 1: POST, 2: POWER_UP, 3: POWER_ACTIVE, 4: DEGRADED, 5: OFF",,
101h,L_DCDC_HBeat,0,cyclicX,0,2,4,L_DCDC_SM_LState,State of the DC-DC module,4,0,,m,u,,s,r,,,,,,0..15,,"0: RESET, 1: POST, 2: POWER_UP, 3: POWER_ACTIVE, 4: DEGRADED, 5: OFF",,
101h,L_DCDC_HBeat,0,cyclicX,0,2,4,L_DCDC_SM_LState,State of the DC-DC module,4,0,,m,u,,s,r,,,,,,0..15,,"0: RESET, 1: POST, 2: POWER_UP, 3: POWER_ACTIVE, 4: DEGRADED, 5: OFF",,
101h,L_DCDC_HBeat,0,cyclicX,0,2,4,L_DCDC_SM_LState,State of the DC-DC module,4,0,,m,u,,s,r,,,,,,0..15,,"0: RESET, 1: POST, 2: POWER_UP, 3: POWER_ACTIVE, 4: DEGRADED, 5: OFF",,
101h,L_DCDC_HBeat,0,cyclicX,0,2,4,L_DCDC_SM_LState,State of the DC-DC module,4,0,,m,u,,s,r,,,,,,0..15,,"0: RESET, 1: POST, 2: POWER_UP, 3: POWER_ACTIVE, 4: DEGRADED, 5: OFF",,
150h,BPCM_MSG_01,0,cyclicX,0,2,6,HVBatCntctrOpn,HV Battery Pack contactor Open,1,0,,i,u,,,s,,,,,,0..1,,"0: FALSE, 1: TRUE",,
150h,BPCM_MSG_01,0,cyclicX,0,2,6,HVBatCntctrOpn,HV Battery Pack contactor Open,1,0,,i,u,,,s,,,,,,0..1,,"0: FALSE, 1: TRUE",,
150h,BPCM_MSG_01,0,cyclicX,0,6,0,HVBatCntctrStat,HV Battery pack contactor state,3,0,,i,u,,,s,,,,,,0..7,,"0: Open, 1: Precharging, 2: Closed, 3: Precharge_Failed, 4: Precharge_Inhibited, 7: SNA",,
150h,BPCM_MSG_01,0,cyclicX,0,6,0,HVBatCntctrStat,HV Battery pack contactor state,3,0,,i,u,,,s,,,,,,0..7,,"0: Open, 1: Precharging, 2: Closed, 3: Precharge_Failed, 4: Precharge_Inhibited, 7: SNA",,
150h,BPCM_MSG_01,0,cyclicX,0,6,0,HVBatCntctrStat,HV Battery pack contactor state,3,0,,i,u,,,s,,,,,,0..7,,"0: Open, 1: Precharging, 2: Closed, 3: Precharge_Failed, 4: Precharge_Inhibited, 7: SNA",,
150h,BPCM_MSG_01,0,cyclicX,0,6,0,HVBatCntctrStat,HV Battery pack contactor state,3,0,,i,u,,,s,,,,,,0..7,,"0: Open, 1: Precharging, 2: Closed, 3: Precharge_Failed, 4: Precharge_Inhibited, 7: SNA",,
150h,BPCM_MSG_01,0,cyclicX,0,6,0,HVBatCntctrStat,HV Battery pack contactor state,3,0,,i,u,,,s,,,,,,0..7,,"0: Open, 1: Precharging, 2: Closed, 3: Precharge_Failed, 4: Precharge_Inhibited, 7: SNA",,
150h,BPCM_MSG_01,0,cyclicX,0,6,0,HVBatCntctrStat,HV Battery pack contactor state,3,0,,i,u,,,s,,,,,,0..7,,"0: Open, 1: Precharging, 2: Closed, 3: Precharge_Failed, 4: Precharge_Inhibited, 7: SNA",,
150h,BPCM_MSG_01,0,cyclicX,0,7,4,MC_150h,HV Battery pack contactor state message counter,4,0,,i,u,,,s,,,,,,0..15,,,,
150h,BPCM_MSG_01,0,cyclicX,0,8,0,CRC_150h,CRC-Checksum Byte 1 - 7 according to SAE J1850,8,0,,i,u,,,s,,,,,,0..255,,,,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,0,L_LPTC_SM_LState,State of LPTC State Machine,5,0,,m,u,,,s,,,,r,,0..31,,"0: ST00_Pwr_Not_Ready, 1: ST01_QuickBoot, 2: ST02_Ensure_Start, 3: ST03_Precharge_Init, 4: ST04_Lyft_HV_Stable, 5: ST05_LPower_UP, 6: ST10_Lyft_Power_ON, 7: ST20_Lyft_Pwr_Down, 8: ST21_HCP_Cmd_OFF, 9: ST22_Power_Off_Seq, 10: ST30_Pwr_FAULT, 11: ST31_Pwr_Limp_FAULT, 12: ST32_Pwr_Impact_FAULT, 13: ST40_LPTC_OFF",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,0,L_LPTC_SM_LState,State of LPTC State Machine,5,0,,m,u,,,s,,,,r,,0..31,,"0: ST00_Pwr_Not_Ready, 1: ST01_QuickBoot, 2: ST02_Ensure_Start, 3: ST03_Precharge_Init, 4: ST04_Lyft_HV_Stable, 5: ST05_LPower_UP, 6: ST10_Lyft_Power_ON, 7: ST20_Lyft_Pwr_Down, 8: ST21_HCP_Cmd_OFF, 9: ST22_Power_Off_Seq, 10: ST30_Pwr_FAULT, 11: ST31_Pwr_Limp_FAULT, 12: ST32_Pwr_Impact_FAULT, 13: ST40_LPTC_OFF",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,0,L_LPTC_SM_LState,State of LPTC State Machine,5,0,,m,u,,,s,,,,r,,0..31,,"0: ST00_Pwr_Not_Ready, 1: ST01_QuickBoot, 2: ST02_Ensure_Start, 3: ST03_Precharge_Init, 4: ST04_Lyft_HV_Stable, 5: ST05_LPower_UP, 6: ST10_Lyft_Power_ON, 7: ST20_Lyft_Pwr_Down, 8: ST21_HCP_Cmd_OFF, 9: ST22_Power_Off_Seq, 10: ST30_Pwr_FAULT, 11: ST31_Pwr_Limp_FAULT, 12: ST32_Pwr_Impact_FAULT, 13: ST40_LPTC_OFF",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,0,L_LPTC_SM_LState,State of LPTC State Machine,5,0,,m,u,,,s,,,,r,,0..31,,"0: ST00_Pwr_Not_Ready, 1: ST01_QuickBoot, 2: ST02_Ensure_Start, 3: ST03_Precharge_Init, 4: ST04_Lyft_HV_Stable, 5: ST05_LPower_UP, 6: ST10_Lyft_Power_ON, 7: ST20_Lyft_Pwr_Down, 8: ST21_HCP_Cmd_OFF, 9: ST22_Power_Off_Seq, 10: ST30_Pwr_FAULT, 11: ST31_Pwr_Limp_FAULT, 12: ST32_Pwr_Impact_FAULT, 13: ST40_LPTC_OFF",,
